Tim <extra_id_0> m.jin.	<extra_id_0> brzadem żëwią sã <extra_id_1>
Łacyńsczi jãzëk (abò łacëzna, łacëna; łac. <extra_id_0> jindoeùropejsczi jãzëk z pòdrodzëznë italsczich jãzëków.	<extra_id_0> lingua Latina) – <extra_id_1>
Niewykluczone, że to ona przeniosła na grunt bytomski idee <extra_id_0> ta od początku miała polski charakter”.	<extra_id_0> brackie, choć organizacja <extra_id_1>
Po zakończeniu <extra_id_0> została przerobiona na klatkę schodową.	<extra_id_0> wojny sala modlitewna <extra_id_1>
Pijany <extra_id_0> miłosnych przygodach.	<extra_id_0> opowiada o swoich <extra_id_1>
Kamiéńsczégò Klucza, <extra_id_0> dobrów na Krajnie.	<extra_id_0> to je arcëbiskùpich <extra_id_1>
Òwczô ropùcha <extra_id_0> to je ôrt òwada z rodzëznë Linognathidae.	<extra_id_0> (Linognathus ovillus) - <extra_id_1>
Żonaty był od 1907 roku <extra_id_0> Jaxa-Zaporską.	<extra_id_0> z Marią Feliksą <extra_id_1>
Midzë <extra_id_0> Półòstrówã nalôzają sã m.jin.	<extra_id_0> Kòrsyką i Apenińszczim <extra_id_1>
Dwie wieże kościelne <extra_id_0> lecz wzmocniono je betonem i ozdobiono koptyjskimi płaskorzeźbami.	<extra_id_0> nie zostały rozebrane <extra_id_1>
Òn béł <extra_id_0> a ùmarł pò wòjnie w 1958 rokù.	<extra_id_0> w kòncentracyjnym lagrze, <extra_id_1>
No pismiã je òbrôzã spòleczno-religijnégò <extra_id_0> grecczim òstrzódkù – Kòrince.	<extra_id_0> żëcô gminë w <extra_id_1>
Tu w 1466 rokù, na <extra_id_0> béł pòdpisóny II torëńsczi mir z Krzëżôkamë.	<extra_id_0> torëńsczim Dwórze Artusa <extra_id_1>
Je to 1433 rok naszi erë (pò narodzenim Christusa), 433. rok drëdżégò tësąclecô, 33. rok XV stolatégò, 3. rok <extra_id_0> stolatégò.	<extra_id_0> 4-égò dzesãcolecô XV <extra_id_1>
Manuałë czãsto mają <extra_id_0> colemało pòzwama sekcjów przez nie òbsługiwónëch, np.	<extra_id_0> pòzwë, chtërné są <extra_id_1>
Nôbarżi szmakają jima te <extra_id_0> jezórze je naôjwiãcy tj.	<extra_id_0> rëbë, chtërnych w <extra_id_1>
Miono "Korea" abò czasã "Corea" (wëprowôdzô sã je òd miona Koryŏ (고려; <extra_id_0> mionã brëkòwanym dô dwóch państw.	<extra_id_0> 高麗)) je neùtralnym <extra_id_1>
Wśród wędkarzy muchowych szeroko rozpowszechniona jest ideologia catch & release czyli wypuszczanie złowionych ryb <extra_id_0> wody Mateusz Baran.	<extra_id_0> z powrotem do <extra_id_1>
Òd 1961 rokù czerownikã karna béł <extra_id_0> Kwidzińsczi (w karnie òd 1952 r.), chtëren òd 1985 r. béł téż jinstruktorã tuńca.	<extra_id_0> jegò wëchòwank Frãcëszk <extra_id_1>
Pewne wyrazy nacechowane aksjologicznie są używane w głównej mierze <extra_id_0> znaczeniach.	<extra_id_0> w ściśle określonych <extra_id_1>
Szaré pùjczi (Trifolium arvense L.) – <extra_id_0> dwalatną roscëną z rodzëznë bòbòwatëch.	<extra_id_0> są jednoroczną abò <extra_id_1>
W Kôrlëkòwie pò <extra_id_0> wòjnë òn krótczi czas béł szôłtësã.	<extra_id_0> zakùńczenim I swiatowi <extra_id_1>
W <extra_id_0> niewielki dzwon.	<extra_id_0> wieżyczce znajduje się <extra_id_1>
PGE <extra_id_0> Konwencjonalna Spółka Akcyjna (PGE GiEK) – koncern wchodzący w skład największej grupy energetycznej w kraju –	<extra_id_0> Górnictwo i Energetyka <extra_id_1>
Je to 1832 rok naszi erë (pò narodzenim Christusa), 832. rok drëdżégò tësąclecô, <extra_id_0> stolatégò, 2. rok 4-égò dzesãcolecô XIX stolatégò.	<extra_id_0> 32. rok XIX <extra_id_1>
Niebò w <extra_id_0> bez pôrã pòstãpnych dniów.	<extra_id_0> nocë bëło jasné <extra_id_1>
Terô warëją robòtë <extra_id_0> lëtaracczégò jãzëka.	<extra_id_0> nad ùsôdzenim szląsczégò <extra_id_1>
Zwëczajny mëszélc <extra_id_0> regulus) — to je môłi ptôch z rodzëznë mëszélcowatëch (Regulidae).	<extra_id_0> abò mëszikról (Regulus <extra_id_1>
Jine wiksze gardë <extra_id_0> Brisbane, Perth i Adelaide.	<extra_id_0> Aùstralëji to Melbourne, <extra_id_1>
Stało <extra_id_0> pod wpływem pism kościoła afrykańskiego, które wówczas zaczęły napływać do Hiszpanii.	<extra_id_0> się tak prawdopodobnie <extra_id_1>
Założëlë je Daniel <extra_id_0> (	<extra_id_0> Bychowski / Wróbel) <extra_id_1>
Osadzone są pojedynczo <extra_id_0> półkulistym kształcie, które mierzą 7–12 mm długości i 11–20 mm średnicy.	<extra_id_0> w miseczkach o <extra_id_1>
Na ùkrainie <extra_id_0> 13 gòdnika.	<extra_id_0> dzéń ten przepôdô <extra_id_1>
Lëdztwò <extra_id_0> (	<extra_id_0> wsë: 1.397 mieszkańców <extra_id_1>
W Pòlsce żëje 6 <extra_id_0> ti rodzëznë.	<extra_id_0> gatënków płazów z <extra_id_1>
W dalszych latach panowania Piotra I doszło do czterech kolejnych <extra_id_0> obiegu wprowadzono wówczas wyłącznie dalsze serie monet o funkcjonujących już wzorach.	<extra_id_0> emisji, jednak do <extra_id_1>
Prawòsławnô Cerkwiô ùznôwô za swòjã całą historiã jedinégò <extra_id_0> Rozłamù w 1054.	<extra_id_0> Kòscoła do Wiôldżégò <extra_id_1>
Òn <extra_id_0> rokù.	<extra_id_0> je òd 1990 <extra_id_1>
Słowińców i <extra_id_0> np.	<extra_id_0> Kaszëbów: a) Słowińców, <extra_id_1>
Ùczestnienié wòdë w lëdowym <extra_id_0> w strachù przed nią.	<extra_id_0> ùsôdztwie òbjôwiô sã <extra_id_1>
Òn <extra_id_0> jin.	<extra_id_0> napisôł m. <extra_id_1>
Jednym <extra_id_0> strzédny pinczer.	<extra_id_0> z nich je <extra_id_1>
W pewnym momencie bez <extra_id_0> Dżanibekowa i Makarowa.	<extra_id_0> ostrzeżenia odskoczył, odrzucając <extra_id_1>
W kolejnych latach, po <extra_id_0> jej kariera nabrała tempa.	<extra_id_0> wyjeździe do Azji, <extra_id_1>
Trulôcz (Grus <extra_id_0> ptôch z rodzëznë trulôczowatëch.	<extra_id_0> grus) - wiôldżi <extra_id_1>
Recowatô róża (Rosa <extra_id_0> to je czerz z rodzëznë różowatëch (Rosaceae).	<extra_id_0> rubiginosa L.) – <extra_id_1>
Bùdowa tegò <extra_id_0> barô prostô.	<extra_id_0> nôstarszégò jinstrumentu je <extra_id_1>
Od czasu założenia w rozgrywkach Premier League <extra_id_0> klubów.	<extra_id_0> brało udział 49 <extra_id_1>
Pastor smołdziński <extra_id_0> Pontanus), rodem ze Słupska.	<extra_id_0> M. Mostnika (Michał <extra_id_1>
Przëmierze na <extra_id_0> (	<extra_id_0> pòkrok ë przëbùdzenié <extra_id_1>
Są <extra_id_0> grobów.	<extra_id_0> one nagrobkami zbiorowych <extra_id_1>
Był <extra_id_0> Zofii z domu Ślusarek.	<extra_id_0> synem Józefa i <extra_id_1>
Zajmował się <extra_id_0> mięśni i oskrzeli.	<extra_id_0> głównie osteologią, anatomią <extra_id_1>
Kòminowi pòdatk - to <extra_id_0> proga.	<extra_id_0> béł pòdatk òd <extra_id_1>
Ji kwiatë są wiele razy <extra_id_0> lopkach.	<extra_id_0> pò 3 w <extra_id_1>
W hewòtnym rokù rozeszłosc <extra_id_0> kalãdôrza wënôszała 11 dni.	<extra_id_0> juliańsczégò i gregòriańsczégò <extra_id_1>
Miał <extra_id_0> der SS.	<extra_id_0> wówczas stopień Waffen-Hauptsturmführera <extra_id_1>
Zelińtë <extra_id_0> Psë) - familiô susków.	<extra_id_0> (abò téż: Mòrsczé <extra_id_1>
Jednocześnie <extra_id_0> jednej z krymskich gazet wieczorowych.	<extra_id_0> pracował w redakcji <extra_id_1>
Juwerno robòtë amerikańsczich slawistów, òd co nômni cziledzesãcu lat klasyfikùją szląsczi jãzëk jakno <extra_id_0> òpisëje gò renomòwóno dlô nich, amerikańskô Słowiańskô Encyklopedijô.	<extra_id_0> apartny, bò tak <extra_id_1>
Nalezlë je <extra_id_0> czasu neòlitu nad brzegã Żôłti Rzéczi.	<extra_id_0> we wsë z <extra_id_1>
Czeskô Repùblika <extra_id_0> 13 regionów (cz. kraj) ë na wëdzélony gard Praga.	<extra_id_0> je pòdzélonô na <extra_id_1>
Je to 1737 rok naszi erë (pò narodzenim Christusa), <extra_id_0> tësąclecô, 37. rok XVIII stolatégò, 7. rok 4-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> 737. rok drëdżégò <extra_id_1>
Fele sztature to zmianë prostégò swobòdnégò położenia cała, chterne junaczą sã òd tipòwich <extra_id_0> bùdowë i rasë.	<extra_id_0> dlô òkreslonégò ôrtu,wiekù, <extra_id_1>
Istnieje kilka dokumentów lokacyjnych, które podają <extra_id_0> Cieniawy – 1364, 1416 i 1464.	<extra_id_0> różne daty powstania <extra_id_1>
W latach 1961–1962 <extra_id_0> Dziejów Ruchu Ludowego.	<extra_id_0> był redaktorem Roczników <extra_id_1>
W prawach wielu nôrodów bëło, <extra_id_0> warzeniégò piwa nôleżą do białków.	<extra_id_0> że statczi do <extra_id_1>
Je to 1887 rok naszi <extra_id_0> Christusa), 887. rok drëdżégò tësąclecô, 87. rok XIX stolatégò, 7. rok 9-égò dzesãcolecô XIX stolatégò.	<extra_id_0> erë (pò narodzenim <extra_id_1>
Pracowni kowalstwa artystycznego, zgodnie z projektem Bolesława Szulca, wykonany został w metaloplastyce wystrój wnętrza <extra_id_0> zewnętrzne.	<extra_id_0> świątyni i gabloty <extra_id_1>
W <extra_id_0> rozwiniãce héklowaniô knëpczi.	<extra_id_0> tim czase nastãpiłwô <extra_id_1>
Wedle òglowégò <extra_id_0> Ùkrajińcë skłôdają 77,8% lëdztwa.	<extra_id_0> spisënkù z 2001 <extra_id_1>
Za pierwszy jasny bolid zarejestrowany przez Polską Sieć Bolidową <extra_id_0> Łaskarzew z 20 lutego 2004 roku.	<extra_id_0> uznaje się EN200204 <extra_id_1>
Kwiatnik sadzy sã w kastë w <extra_id_0> nawetka w czerwińcu.	<extra_id_0> gromnicznikù, strumiannikù a <extra_id_1>
Od tego czasu monarchowie porzucili ten zwyczaj <extra_id_0> końca swoich dni, choć rzeczywista władza przechodziła wcześniej w ręce następcy tronu lub kanclerza.	<extra_id_0> i panowali do <extra_id_1>
Swoją <extra_id_0> lipcu 2009 roku.	<extra_id_0> premierę miały w <extra_id_1>
Czëdë <extra_id_0> pòsélac zwãcznikòwi sygnalë.	<extra_id_0> je dôka mòże <extra_id_1>
Pòetka ùsadzô pòezëje <extra_id_0> jãzëkù.	<extra_id_0> téż w anielsczim <extra_id_1>
Brzóna (Vimba vimba) - <extra_id_0> karpiowatëch.	<extra_id_0> rëba z rodzëznë <extra_id_1>
W kontekście komunikacji koncepcja zakładała redukcję ilości nowych wejść <extra_id_0> strony ulicy Szymanowskiego.	<extra_id_0> do parku od <extra_id_1>
Król Manticore, Roger III, umiera w wypadku podczas lotu na <extra_id_0> ulubionym sporcie.	<extra_id_0> nartach grawitacyjnych, jego <extra_id_1>
Wartësłôw III (ùr. kòl <extra_id_0> ùm.	<extra_id_0> 1210 rokù - <extra_id_1>
Rząd ludowy Moraczewskiego wprowadził dekret o czasie pracy wprowadzający normę 8-godzinnego <extra_id_0> tygodnia pracy.	<extra_id_0> dnia i 46-godzinnego <extra_id_1>
W kalendarzu <extra_id_0> znalazły się tory leżące w Azji -	<extra_id_0> na sezon 2008/2009 <extra_id_1>
Òn <extra_id_0> Kùipera.	<extra_id_0> je w pasu <extra_id_1>
Ernesta Schliemanna i jego <extra_id_0> Zofii.	<extra_id_0> żony Luizy Teresy <extra_id_1>
Béł <extra_id_0> pùstelnikã, a pòtemù biskùpã w Tours 371–397.	<extra_id_0> rzimsczi wòjôkã (ridownikã), <extra_id_1>
Je to 931 rok naszi erë <extra_id_0> 931. rok pierszégò tësąclecégò, 31. rok X stolatégò, 1. rok 4-égò dzesãcolecô X stolatégò.	<extra_id_0> (pò narodzenim Christusa), <extra_id_1>
Jest córką strażaka Grega <extra_id_0> Giny Guanco.	<extra_id_0> Hudgens i biznesmenki <extra_id_1>
Jón Bauer (pòl. <extra_id_0> ùr.	<extra_id_0> Jan Bauer) - <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 26 <extra_id_1>
Czej ùmarła mu piérszô <extra_id_0> sã z Abiah Folger.	<extra_id_0> biôłka, tej òżenił <extra_id_1>
W roku 2008 <extra_id_0> z piosenką „I.	<extra_id_0> X JAPAN powróciło <extra_id_1>
Wiele słów uznania skierowano <extra_id_0> fabuły i postaci.	<extra_id_0> również w stronę <extra_id_1>
Miono Tunis i Tunisia są <extra_id_0> fenicczi bòżënë Tunit/Tannit.	<extra_id_0> od miona dôwni <extra_id_1>
Zamek w pełni <extra_id_0> charakter.	<extra_id_0> zachował swój średniowieczny <extra_id_1>
W rokù 1919 zasadë grë <extra_id_0> Carla Schelenza, chtërny wprowadzył przepisë barżi czekawszé dlô chłopsczi discëplinë.	<extra_id_0> òstałë rozszérzwioné przez <extra_id_1>
Wszëtczé gatënczi <extra_id_0> mają prawną òchronã.	<extra_id_0> gadòw w Pòlsce <extra_id_1>
Dzennik The Guardian umieścił <extra_id_0> gronie 5 nôlepszich piłkarzy na swiece.	<extra_id_0> gò równak w <extra_id_1>
Po przydziale do 12 Dystryktu Morskiego (ang. 12th Naval District) <extra_id_0> ze służby 16 kwietnia 1946.	<extra_id_0> "Quastinet" został wycofany <extra_id_1>
Andriej <extra_id_0> się o rosyjskiej aneksji Krymu.	<extra_id_0> Zubow krytycznie wypowiadał <extra_id_1>
To béł <extra_id_0> honoris causa Warszawsczégò Ùniwersytetu.	<extra_id_0> m. jin. doctor <extra_id_1>
Eùropejskô Bibloteka (The European <extra_id_0> je cifrowô bibloteka, chtërna dôwô przistãp do 48 nôrodnëch bibloteków.	<extra_id_0> Library) – to <extra_id_1>
W 2008 <extra_id_0> 133 lëdzy.	<extra_id_0> rokù tu mieszkało <extra_id_1>
Około <extra_id_0> mieszkańców.	<extra_id_0> 199,8 tys. <extra_id_1>
Je to 869 rok naszi erë (pò narodzenim <extra_id_0> pierszégò tësąclecégò, 69. rok IX stalatégò, 9. rok 7-égò dzesãcolecô IX stalatégò.	<extra_id_0> Christusa), 869. rok <extra_id_1>
To w ni miôł trzëmac kam i czëdë zasnął, ten <extra_id_0> nogã i gò òbùdził.	<extra_id_0> ùpôdł na drëgą <extra_id_1>
W lutym 2012 <extra_id_0> reprezentacji Niemiec w Pucharze Davisa.	<extra_id_0> roku zadebiutował w <extra_id_1>
Od <extra_id_0> prasowe, m.in. o przyczynach ubóstwa chłopów.	<extra_id_0> 1888 pisał artykuły <extra_id_1>
Przeniesiono <extra_id_0> uczniów.	<extra_id_0> tam wszystkich <extra_id_1>
Të kòtë, co są doma żëją do 20 lat, a <extra_id_0> na wòlé do 7-8 lat.	<extra_id_0> të, chtërne są <extra_id_1>
Pòzwa wsë <extra_id_0> "smaga", co òznôczô pragniączkã.	<extra_id_0> pòchôdô òd słowa <extra_id_1>
Czëdes <extra_id_0> chram.	<extra_id_0> tu béł pògańsczi <extra_id_1>
Ptôchë te mają mało mòcë w skrzidłach temù do <extra_id_0> pòwierzchniã swòjich skrzidłów i cepłé prądë w lëfce.	<extra_id_0> lôtonigò wëkòrzistiwają òne <extra_id_1>
Béł òznaką sëłë, <extra_id_0> prawòtë.	<extra_id_0> mòcë, sławnoscë i <extra_id_1>
W spòczinkù przëpòminają srokã, le w pòrównanim z jéj cãżczim <extra_id_0> wiele lepij przemieszcziwô sã w lefce.	<extra_id_0> lotã kùkówka czubatô <extra_id_1>
Do końca <extra_id_0> 49 odznak.	<extra_id_0> 2017 roku przyznano <extra_id_1>
W II swiatowi <extra_id_0> bëła zniszczoné.	<extra_id_0> wòjnie (1945) òna <extra_id_1>
Je to 1712 rok naszi erë (pò narodzenim Christusa), 712. rok drëdżégò tësąclecô, <extra_id_0> stolatégò, 2. rok 2-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> 12. rok XVIII <extra_id_1>
Polskość kultywowały wśród uczniów <extra_id_0> powstałe ok.	<extra_id_0> tajne organizacje – <extra_id_1>
Parafia św. <extra_id_0> –	<extra_id_0> Anny w Niemysłowicach <extra_id_1>
Sygnały te przekazywane są do komputera, który porównuje dane uzyskane z układu poszukującego rakiety, <extra_id_0> od radiolokatora.	<extra_id_0> z informacjami pochodzącymi <extra_id_1>
Generalno mòże m.jin. <extra_id_0> rzec, że Slackware je czerowóny do barżi awansowónëch brëkòwników, jaczi ledają barżi sómi miec cësk na kòntrolã nad instalowónëma programama.	<extra_id_0> ë przez to <extra_id_1>
Darłowskô <extra_id_0> na niéżëczny wiodrowé leżnosce.	<extra_id_0> bliza wëstawionô je <extra_id_1>
Indywidualnie triumfowała w <extra_id_0> była druga w 1979.	<extra_id_0> 1977 i 1978, <extra_id_1>
Przednia samogłoska nosowa (por. ogólnopolskie ę) rozwinęła <extra_id_0> wszystkich pozycjach w a, np. gamba, zamby, pjańć, tandy, ja ida, moga, wjidza chałupa.	<extra_id_0> się tu we <extra_id_1>
W czasie wyłożenia organizowana jest dyskusja <extra_id_0> przyjętymi w projekcie.	<extra_id_0> publiczna nad rozwiązaniami <extra_id_1>
Przeciwnie <extra_id_0> o ich wzajemnym warunkowaniu i dopełnianiu.	<extra_id_0> – można mówić <extra_id_1>
W 1989 roku <extra_id_0> Norwegii, do Ham-Kam.	<extra_id_0> Kojedal wrócił do <extra_id_1>
Piôskòwi òzdobnik <extra_id_0> to je ôrt roscënë z rodzëznë Poaceae.	<extra_id_0> (Calamagrostis epigejos) - <extra_id_1>
Prawie téż ùsôdzô <extra_id_0> na binã (2005), np.	<extra_id_0> òna widzawiszcza: Òbrôzczi <extra_id_1>
Piszczówkòwé òrganë - są klawiszowim aerofonicznym ë <extra_id_0> jinstrumentã, chtëren colemało je bùdowóny w kòscołach.	<extra_id_0> téż idofonicznym mùzycznym <extra_id_1>
Przegląd <extra_id_0> ukazujące się w latach 1946-1973 poświęcone głównie zagadnieniem polskiej sztuki współczesnej.	<extra_id_0> Artystyczny – czasopismo <extra_id_1>
Na <extra_id_0> jachtuje.	<extra_id_0> niegò sã <extra_id_1>
Zlokalizowóné <extra_id_0> Wdą i òbjãté òchróną w rezerwace archeologòwo-przёrodnym „Krãdżi kamiané”.	<extra_id_0> są nad rzéką <extra_id_1>
Ambùlans - to je przewòzny <extra_id_0> przewòzënkù chòrich abò renionych.	<extra_id_0> spòsób namieniony do <extra_id_1>
Sakrę <extra_id_0> września 1635.	<extra_id_0> otrzymał dopiero 5 <extra_id_1>
Na terenie <extra_id_0> się blisko 2000 miejsc parkingowych, w tym 1200 na parkingu podziemnym i 700 na naziemnym.	<extra_id_0> centrum handlowego znajduje <extra_id_1>
Przedsiębiorstwa nie należy mylić <extra_id_0> –	<extra_id_0> ze Scandlines AB <extra_id_1>
Kòpónka – to je drzewiany <extra_id_0> dosc snôdczi.	<extra_id_0> statk, na ògle <extra_id_1>
Marsz grupy operacyjnej na wschód <extra_id_0> około północy.	<extra_id_0> rozpoczął się dopiero <extra_id_1>
Znajduje się tu Fabryka Wyrobów Metalowych <extra_id_0> z o.o. produkująca odkuwki matrycowe oraz łańcuchy.	<extra_id_0> Kuźnia Osowiec Sp. <extra_id_1>
Wëdóno na niégò lëst gòńbòwi, ë 6 strëmiannika Cénôwa òstôł pòjmóny na <extra_id_0> do Stôjszewa.	<extra_id_0> drodze ze Swiónowa <extra_id_1>
W czasie sesji nagraniowej powstały jeszcze dwa utwory: "Jealous Lover", który ukazał się <extra_id_0> instrumentalny "Weiss Heim", ale ostatecznie nie weszły do programu płyty.	<extra_id_0> jako singel oraz <extra_id_1>
Po 10 października brygada objęła <extra_id_0> hrabstwie Angus.	<extra_id_0> obronę wybrzeża w <extra_id_1>
Te norczi <extra_id_0> lëterackò np.	<extra_id_0> w klôtkach zwëskôł <extra_id_1>
Nowi <extra_id_0> 421 800 mieszkańców (2005).	<extra_id_0> Jork mô 17 <extra_id_1>
Sztuka wojenna Sun Zi Spotykane <extra_id_0> wydań tłumaczenie tytułu jako Sztuka wojny jest kalką z angielskiego The Art of War, niepoprawną językowo.	<extra_id_0> w większości polskich <extra_id_1>
W 1992 rokù w Barcelonie bëłë latné olimpijsczé jigrzëska i wiele jinszich <extra_id_0> i swiata w judo, w płëniãcô, w chòdze szpòrtowim i wiele jinszich.	<extra_id_0> imprez: Mésterzkò Europe <extra_id_1>
Dzecama jich bëlë: <extra_id_0> i Witosława.	<extra_id_0> Damroka, Mestwin, Barbara <extra_id_1>
Rayne (po lewej) jako członkini <extra_id_0> w 2009.	<extra_id_0> The Beautiful People <extra_id_1>
To drudżé w robòtniczi gwarze òznôczo cos <extra_id_0> pòzdrówk.	<extra_id_0> niespòdzajnegò, a téż <extra_id_1>
Obraz umieszczono na <extra_id_0> szczycie.	<extra_id_0> zewnątrz, w jej <extra_id_1>
Je to 888 rok naszi erë (pò narodzenim Christusa), 888. rok pierszégò tësąclecégò, 88. rok IX <extra_id_0> 9-égò dzesãcolecô IX stalatégò.	<extra_id_0> stalatégò, 8. rok <extra_id_1>
Òna zajimô sã sprawama kùlturowi <extra_id_0> cobë lëdzë bëlë sobie równy pòdług prawa.	<extra_id_0> spadkòwiznë i tim <extra_id_1>
Swinié pësczi (Hieracium pilosella <extra_id_0> wielelatną roscëna z rodzëznë astrowatëch (Asteraceae).	<extra_id_0> L.) - są <extra_id_1>
Do <extra_id_0> téż òpisë splecënków chtërne wëstãpiwają we wiãzëdłch.	<extra_id_0> modłów dołączone są <extra_id_1>
Manchester United pòwstôł w 1878 rokù, <extra_id_0> pòzwą - Newton Heath LYR.	<extra_id_0> le pòd jinszą <extra_id_1>
Bùkwitniôk <extra_id_0> (Hoplia philanthus) – to je bączk z rodzëznë Rutelidae.	<extra_id_0> abò gãsy bączk <extra_id_1>
Tam w kòscele <extra_id_0> mùzyczi.	<extra_id_0> czasem mòże pòsłëchac <extra_id_1>
W skład sołectwa wchodzi <extra_id_0> Budkowiczanką.	<extra_id_0> przysiółek Lewandówka nad <extra_id_1>
Sprôwiô <extra_id_0> midze tima spòsobama.	<extra_id_0> to jinosc bùdaceji <extra_id_1>
Òn <extra_id_0> zómkù.	<extra_id_0> mòże bëc w <extra_id_1>
Film <extra_id_0> faktach.	<extra_id_0> został oparty na <extra_id_1>
Naukę w Miejskiej Szkole Pracy w Łodzi zaczęła w 1931, a kontynuowała od 1937 <extra_id_0> Janiny Czapczyńskiej w Łodzi.	<extra_id_0> w prywatnym Gimnazjum <extra_id_1>
W Pòlsce <extra_id_0> zort.	<extra_id_0> występuje le jeden <extra_id_1>
Dozérôł pòezjã <extra_id_0> np.	<extra_id_0> zaangażowóną i prozã, <extra_id_1>
Podczas tego <extra_id_0> również film.	<extra_id_0> samego koncertu zarejestrowano <extra_id_1>
Spòdlé <extra_id_0> mògą zacząc sã ùczëc ju w pierszi abò drëdżi klase spòdleczny szkòłë.	<extra_id_0> rãczny balë dzecë <extra_id_1>
Program <extra_id_0> Ornitologiczna Muzeum i Instytutu Zoologii PAN na zlecenié GIOŚ.	<extra_id_0> ten wëkónëwô Stacja <extra_id_1>
Wierã piérwi: <extra_id_0> nie bëło niżódno wieselé."	<extra_id_0> "Bez czarwinë to <extra_id_1>
Ksądz <extra_id_0> pòpiół na głowë - XIX w.	<extra_id_0> sëpie lëdzóm pòswiãcony <extra_id_1>
Chłopsczi nóż – to je zort <extra_id_0> skłôdónym òstrim.	<extra_id_0> rãcznégò nôrzãda ze <extra_id_1>
Czyli ustalenie <extra_id_0> a zmianami w sytuacji, które następują po tej reakcji.	<extra_id_0> związków między reakcją, <extra_id_1>
W VIII wiekù zaczął sã nôbiég wikingów, jaczi w 1014 w kùńcu òstôł òdparti <extra_id_0> Briana Zuchternégò.	<extra_id_0> przez armiã króla <extra_id_1>
Film nakręcono <extra_id_0> René Falleta.	<extra_id_0> na podstawie powieści <extra_id_1>
Kościół poświęcił ks. Jan <extra_id_0> 1935.	<extra_id_0> Gajda 2 czerwca <extra_id_1>
Źródło z <extra_id_0> 2012.	<extra_id_0> dnia 8 sierpnia <extra_id_1>
Jak <extra_id_0> òn mòże zjadac pszczołë z ùla.	<extra_id_0> są sãkaté mrozë <extra_id_1>
Białka jégò bёła Maria Kazimiera de la Grange <extra_id_0> Marysieńką.	<extra_id_0> d′ Graniem zwanô <extra_id_1>
Astronomijô <extra_id_0> chemiczné ë fizyczné swòjiznë òbiektów jaczé mògą bëc òbserwòwóné na niebie (ë są bùten wiodrowinë), ôs zrzeszoné z nima procesë.	<extra_id_0> badérëje pòchòdzënk, ewolucëjã, <extra_id_1>
W roku 1783 dobra <extra_id_0> Ignacego Witosławskiego, a następnie do jego spadkobierców.	<extra_id_0> te należały do <extra_id_1>
Drëdzi <extra_id_0> gard Szpanii.	<extra_id_0> co do wiôlgòscë <extra_id_1>
Òd 2005 r. ùtwórca dzejô w Pòspólny Kòmisëji Rządu a Nôrodnëch <extra_id_0> jaczi òd łżekwiôta 2008 r. je wespółprzédnikã.	<extra_id_0> i Etnicznëch Miészëznów, <extra_id_1>
Wënalôzczi Janga, jakno <extra_id_0> pòdczorchniają technologòwé awansowónié dynastëji Joseon.	<extra_id_0> deszczomierzôk czë wòdomierzôk <extra_id_1>
Źródłem dla utworu było też <extra_id_0> Timonedy z 1578.	<extra_id_0> Patrañuelo Juana de <extra_id_1>
Górnołużëcczi <extra_id_0> kaszëbsczim, np.	<extra_id_0> jãzëk szlachùje za <extra_id_1>
Sedzé <extra_id_0> dniów.	<extra_id_0> na nich 17-19 <extra_id_1>
Wydawnictwo WERK, Wrocław 1996, s. 197. Anna Michałowska: Sejmy <extra_id_0> wobec Żydów.	<extra_id_0> i sejmiki koronne <extra_id_1>
Prospekt je <extra_id_0> widzocznym dzélã szafë.	<extra_id_0> nôbarżi òzdobnym i <extra_id_1>
Papiéż Jón XXIII (swiecczé miono <extra_id_0> ùr.	<extra_id_0> Angelo Giuseppe Roncalli; <extra_id_1>
Szczecinek (we zdrojach: Neuen Stetin, Nien Stettin, Kleinstetin 1575 (1579), Neustettin, Nowoszczecin 1707, Nowy Szczecin, Szczecinek <extra_id_0> (Cenôwa) ; miem.	<extra_id_0> XIX w., Szczecink <extra_id_1>
Od 1997 roku pula nagród Pekao Open wynosi 150 000 $ (125 000 $ <extra_id_0> gościnne, czyli bezpłatne zakwaterowanie i wyżywienie zawodników).	<extra_id_0> puli nagród + <extra_id_1>
W <extra_id_0> była do tego momentu praktycznie nieznana.	<extra_id_0> Ameryce europejska awangarda <extra_id_1>
Spotkaliśmy się z Wojtkiem <extra_id_0> który właściwie gra na wszystkich instrumentach.	<extra_id_0> Jabłońskim, gitarzystą Kultu, <extra_id_1>
Gdy dotarła na miejsce dowiedziała się, iż dawny Richard Cypher, leśny przewodnik jest <extra_id_0> Richard Rahl, władca Imperium D’Hary i przyszły mąż Matki Spowiedniczki Kahlan Amnell.	<extra_id_0> teraz znany jako <extra_id_1>
Przë szkòle w Miszewie dzejô <extra_id_0> „Mùlczi”	<extra_id_0> dzecné fòlkloristiczné karno <extra_id_1>
W barwach tej ostatniej <extra_id_0> Polski w 1974 i 1975.	<extra_id_0> drużyny zdobyła mistrzostwo <extra_id_1>
