Pierszé <extra_id_0> jaczi pòzwã pòdónô bëła w fòrmie "Poblocz" pòchôdô z 1401 rokù.	<extra_id_0> wiadło ò wsë, <extra_id_1>
To <extra_id_0> Kònôrzënë.	<extra_id_0> je sedzba gminë <extra_id_1>
Córka Marii z Lesznowsczich i Ludwika <extra_id_0> w dwòrkù w Słupie 11 séwnika 1894.	<extra_id_0> Kòwnacczégò ùrodza sã <extra_id_1>
Samica daje òd 3000- 200000 tësąców jaj chtërny kleją sã <extra_id_0> wszëtczégò co je pòd wódą.	<extra_id_0> do roscënów i <extra_id_1>
Pierszô propòzycjô, bë ùznac dokôz „Zemia Rodnô” za kaszëbsczi himn, pòjawiła <extra_id_0> w pismionie Tatczëzna.	<extra_id_0> sã w 1992, <extra_id_1>
Pierszim katalońsczim pisôrzã béł Ramon Llull (1232–1315), chtëren w tim jãzëkù pisôł <extra_id_0> stalatim teologòwé knédżi i romanë.	<extra_id_0> ju w 13. <extra_id_1>
Wë <extra_id_0> katolëcczi kòscół z lat 1855-57.	<extra_id_0> wsë je mùrowòné <extra_id_1>
Mòc trzimaniô sã tich Kaszëbów-lëtrów przë <extra_id_0> i tradicji miała swój czas.	<extra_id_0> rodny mòwie, zwëku <extra_id_1>
Je to 1382 rok naszi erë (pò narodzenim Christusa), 382. rok drëdżégò <extra_id_0> XIV stolatégò, 2. rok 9-égò dzesãcolecô XIV stolatégò.	<extra_id_0> tësąclecô, 82. rok <extra_id_1>
Kanadejsczi Kaszëbi wiele <extra_id_0> Midzënôrodny Zjôzd Kaszëbów.	<extra_id_0> razy przëjéżdżelë na <extra_id_1>
E., Przewodnik do <extra_id_0> zwierząt na wycieczce, Warszawa 2000, s.36.	<extra_id_0> rozpoznawania roślin i <extra_id_1>
Je to 1696 rok naszi erë (pò narodzenim Christusa), 696. rok drëdżégò tësąclecô, 96. rok <extra_id_0> rok 10-égò dzesãcolecô XVII stolatégò.	<extra_id_0> XVII stolatégò, 6. <extra_id_1>
Jegò òjc <extra_id_0> w Ecton w grôfiznie Notrhamptonshire, do Americzi wëjachôł w 1683) nie béł bògatim, ón robił swiéczci a mëdło.	<extra_id_0> Josiah Franklin (ùrodzony <extra_id_1>
Murakami je téż ùsôdzcą dolaczënków z anielsczegò, taczich runitów jakno m.jin. Francis Scott Fitzgerald, Raymond <extra_id_0> Truman Capote.	<extra_id_0> Carver, John Irving, <extra_id_1>
Baro znónym łużëcczim <extra_id_0> Tilich (pò miem.	<extra_id_0> Serbem je Stanisław <extra_id_1>
Pierwòrodny ùmarł niesteti w <extra_id_0> jegò nômłodszô sostra Marta.	<extra_id_0> dzecyństwie, jakno téż <extra_id_1>
Tedë <extra_id_0> w Lëzbònie.	<extra_id_0> je wiôldżi swiãto <extra_id_1>
Òpiórzenié <extra_id_0> dërdzawòbruné.	<extra_id_0> prawie wiedno <extra_id_1>
Pòwiérzchniã państwa zajimają <extra_id_0> dôwnégò zlodowaceniô.	<extra_id_0> równiznë ze szlachama <extra_id_1>
Założëł gò w 1584 <extra_id_0> - pózdze szwedzczi król Karl IX.	<extra_id_0> rokù ksąże Karl <extra_id_1>
Peter <extra_id_0> a béł np.	<extra_id_0> Glofcheskie, Ed Chippior, <extra_id_1>
Ùdostała baro staranné i wszechstronné wësztôłcenié z <extra_id_0> pòezji, mùzyczi, fizyczi, matematiczi, astronomii i medicënë.	<extra_id_0> òbrëmieniégò filozofii, retoriczi, <extra_id_1>
Ta szabla <extra_id_0> panowaniô Stefana Batorégò.	<extra_id_0> nôwiãcy ùżëwale za <extra_id_1>
Resztã mléka (pół skła) i cëczer (reszta ze <extra_id_0> tłuszczã (250 g margarinë "Palma") rozpùszczëc i do tegò wsëpac mąkã (razem 1 kg pszeny mączi), dodac jaja (6 szt.) i razem dobrze wëmiészac.	<extra_id_0> skła cëkru) z <extra_id_1>
Pólny skòwrónk (Alauda arvensis) – to je môłi ptôch <extra_id_0> (Alaudidae).	<extra_id_0> z rodzëznë skòwrónków <extra_id_1>
Je autorã <extra_id_0> m.jin. "Rozmówków pòlskò-kaszëbsczich" (wëdónëch w 1992 r.), „Wskôzów kaszëbsczégò pisënkù” (1997), "Kaszëbsczégò słowôrza normatiwnégò" (2005).	<extra_id_0> czile ksążków kaszëbsczich, <extra_id_1>
Czëtôj <extra_id_0> Kòreji.	<extra_id_0> wicy ò <extra_id_1>
W Americe òd òkolim IX stalata p.n.e. robi sã m.jn. kùkùridzane piwò chibche, chtërne brało sã <extra_id_0> kùkùridzanej soczëznë z dodôwkã ptialinë.	<extra_id_0> ze zwëkòwi fermentacëji <extra_id_1>
Pòtrafi cknąc <extra_id_0> jestkù.	<extra_id_0> i nalezc wszãdze <extra_id_1>
Ùsztôłcenié terenu Bùłgarie je zwiksza górzësté, na <extra_id_0> wschòdze niżawë.	<extra_id_0> nordze i pôłniowim <extra_id_1>
Muzeum <extra_id_0> im.	<extra_id_0> Ziemi Puckiej <extra_id_1>
Tuj (Erysimum L.) <extra_id_0> szlach roscënów z rodzëznë kapùstowatëch.	<extra_id_0> – to je <extra_id_1>
Ta szabla miała zdebło krzëwizna, strzédnô długòsc sétmëdzesãc centimétrów, i dzesãc <extra_id_0> miała kòle jeden kilo i dzesãc gramów.	<extra_id_0> centimétrów ùchwôt, wôdżi <extra_id_1>
Krajenka (we zdrojach: Krainka, Kraina 1420, <extra_id_0> 1676, Crajanez 1772, Krojanka (Cenôwa); pòl.	<extra_id_0> Crayna 1453, Kroganick <extra_id_1>
Na wdôr zabitëch <extra_id_0> kòscoła kamianny òbelisk.	<extra_id_0> je pòstawiony kòl <extra_id_1>
Tegò samégò rokù <extra_id_0> Zakón dlô lëdzi świéczich.	<extra_id_0> Francëszk założëł Trzeci <extra_id_1>
Są baro mądré i rozmieją <extra_id_0> (np. czãsto kładzą òrzechë pòd kòła aùtów).	<extra_id_0> pòsługiwać sã nôrzãdzama <extra_id_1>
Dzysô liturgiô gòdzënów je stosowónô przede wszetczim w diakònatach, óbczas duchòwnëch kònferencjów, <extra_id_0> studańtów teologie abò ewangelëcczi rodzëznë.	<extra_id_0> rekòlekcjów, ë téż <extra_id_1>
Do chòroscë <extra_id_0> pertussis.	<extra_id_0> doprowôdzy bakteria Bordetella <extra_id_1>
Wiôldżi <extra_id_0> Pòpiélcową Strzodą.	<extra_id_0> Pòst rozpòczinô sã <extra_id_1>
Jeżlë jistnieje nótnosc mògą bëc <extra_id_0> w jińszëch jãzëkach.	<extra_id_0> òne prowadzoné téż <extra_id_1>
Do <extra_id_0> 88 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Pierszô zmiónka ò Karwiô <extra_id_0> rokù.	<extra_id_0> pòchôdô z 1274 <extra_id_1>
Téż <extra_id_0> drëdżégò tomikù pt.	<extra_id_0> w wiérztach ji <extra_id_1>
Różné zortë <extra_id_0> i pierzasti, a téż pòkrewné z nima szwamë i jinszé jistotë mają snôżé farwë: czerwioné, żôłté, apfelzynowé, lilewé, różewé i zeloné.	<extra_id_0> kòralowców - wiejôkòwati <extra_id_1>
Sztrôfné <extra_id_0> zatrzëmiwô sã ju w sztóce przëszëkùjącégò sprôwianiô, nigle przińdze do rozprawë ë òbsądzeniô.	<extra_id_0> dzejanié procëm sprôwcë <extra_id_1>
W latach <extra_id_0> Kaszëbsczim Lëdowim Ùniwersytece we Wieżice za dolmacza z anielsczi gôdczi ë za prowadnika midzënorodnëch delegacjów.	<extra_id_0> 1984-85 robiła w <extra_id_1>
Warszawa: <extra_id_0> 1975, s. 376.	<extra_id_0> Państwowe Wydawnictwo Ekonomiczne, <extra_id_1>
Jakno <extra_id_0> czile parafiach.	<extra_id_0> wikari béł w <extra_id_1>
Złotnica <extra_id_0> np.	<extra_id_0> - to béł <extra_id_1>
Je to 906 rok naszi erë (pò narodzenim Christusa), 906. rok pierszégò tësąclecégò, 6. rok X stolatégò, 6. <extra_id_0> X stolatégò.	<extra_id_0> rok 1-égò dzesãcolecô <extra_id_1>
Matematika je <extra_id_0> z mierzeniô, rechòwaniô ë analizë geòmetricznëch figùrów.	<extra_id_0> ùczbą jakô wëewoluòwa <extra_id_1>
Pierszô zmiónka ò Mierëszënie pòchôdô <extra_id_0> -	<extra_id_0> z 1286 rokù <extra_id_1>
Jakùb <extra_id_0> Młodszi).	<extra_id_0> Starszi i <extra_id_1>
Pastor smołdziński M. Mostnika <extra_id_0> ze Słupska.	<extra_id_0> (Michał Pontanus), rodem <extra_id_1>
Złoty dukat <extra_id_0> złoty.	<extra_id_0> dostôł miono czerwiony <extra_id_1>
W <extra_id_0> robile np.	<extra_id_0> tich latach lëdze <extra_id_1>
Pòdle miemiecczégò <extra_id_0> je zrzeszã gminów ë jednostką sprôwnégò pòdzeleniégò.	<extra_id_0> gminnégò prawa, kréz <extra_id_1>
Òkróm <extra_id_0> stónowi drodżi i aùtostradë.	<extra_id_0> tegò mómë midzë <extra_id_1>
Na zymkù 1209 <extra_id_0> 1210) rokù Francëszk pòprosëł w Rzymie ò zatwiérdzenié swòjé Regùłë.	<extra_id_0> (w niechtërnych zdrzódłach <extra_id_1>
Zwëczajny klãskôcz (Coccothraustes coccothraustes) - <extra_id_0> ptôch z rodzëznë łëzgôczów.	<extra_id_0> to je môłi <extra_id_1>
Nie <extra_id_0> np.	<extra_id_0> ùcékô téż (jak <extra_id_1>
Monte zdradzony <extra_id_0> w 1273 r.	<extra_id_0> zdżinął òd Krzëżôków <extra_id_1>
Platka zawiérô <extra_id_0> a Natalia Szroeder spiéwô refrenë.	<extra_id_0> tekstë aùtorstwa rapera, <extra_id_1>
Nót je <extra_id_0> skùteczno ògrańczëc bëcé pòszedła w jaczis stronie, je mùsz szczépic wiôldżi procent lëdzy (w przëtrôfkù òdrë bez 83%).	<extra_id_0> wiedzec to, żebë <extra_id_1>
Do <extra_id_0> 144 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Chcemë sã jednak wëòbrażëc, że jednak człowiek na <extra_id_0> i stanął na ji pòwierzchni trzimającë w rãce łëżeczkã.	<extra_id_0> taką gwiôzdã dolecôł <extra_id_1>
Rozrost Wilna zatrzëmôł wiôldżi <extra_id_0> Wilno.	<extra_id_0> òdżin w 1610 <extra_id_1>
Rëbôcë ùwôżają <extra_id_0> to, że wëjôdô „dobrą rëbã”.	<extra_id_0> chałëpnika szkòdnikã, bez <extra_id_1>
Pòrénkòwy dzél <extra_id_0> wëszawnô-gòrsczi.	<extra_id_0> Syberëji to môl <extra_id_1>
Mòże <extra_id_0> pòle.	<extra_id_0> bëc zaòszocowóné <extra_id_1>
Je to 1802 rok naszi erë (pò narodzenim Christusa), 802. rok drëdżégò tësąclecô, 2. rok XIX <extra_id_0> 1-égò dzesãcolecô XIX stolatégò.	<extra_id_0> stolatégò, 2. rok <extra_id_1>
Zambiô - to je <extra_id_0> Africe.	<extra_id_0> państwò w pòłniowi <extra_id_1>
Przódeczasném janiołóm przëpisëwano <extra_id_0> pòtwierdzoné w Ksãdze Henoha.	<extra_id_0> cało, co je <extra_id_1>
Nôstôrszé wòjewództwa pòwstôwałë ù przełómaniégò <extra_id_0> stolata.	<extra_id_0> XIV i XV <extra_id_1>
Biôłi miodownik (Melilotus albus) <extra_id_0> dwalatnô roscëna z rodzëznë bòbòwatëch (Fabaceae).	<extra_id_0> – to je <extra_id_1>
Je to 1752 rok naszi erë (pò narodzenim Christusa), 752. rok drëdżégò tësąclecô, 52. rok XVIII stolatégò, 2. <extra_id_0> XVIII stolatégò.	<extra_id_0> rok 6-égò dzesãcolecô <extra_id_1>
Digraf – <extra_id_0> jaczé òznôczô jeden zwãk (fònem).	<extra_id_0> sparłãczenié dwùch lëtrów, <extra_id_1>
Je to 929 rok naszi erë (pò narodzenim Christusa), 929. <extra_id_0> 29. rok X stolatégò, 9. rok 3-égò dzesãcolecô X stolatégò.	<extra_id_0> rok pierszégò tësąclecégò, <extra_id_1>
Efektã <extra_id_0> (	<extra_id_0> tegò bëł Suffer <extra_id_1>
Za <extra_id_0> téż zdrobnień Wolferl, Wolfgangerl i we wczesnëch czasach Wolfi, ò czim je wiedzec z lëstów òjca.	<extra_id_0> młodu starszi ùżywalë <extra_id_1>
Bliza <extra_id_0> stôrych czasach.	<extra_id_0> jistniała ju w <extra_id_1>
Theophilos òznôczô przëjacela <extra_id_0> ùniwersalizmù ddwù-dzeła – pisôł do kòżdégò, chto chcôł bëc prëjacelã Bòga.	<extra_id_0> Bòga, co pedług <extra_id_1>
Domôcô swinia, domôcô sjinia <extra_id_0> abò Sus domesticus) – to je pòdôrt abò órt lądowégò suska z rodzëznë swiniowatëch (Suidae).	<extra_id_0> (Sus scrofa domesticus <extra_id_1>
Mô długòtã <extra_id_0> nié mô na nogach kòsziczków.	<extra_id_0> 25 mm i <extra_id_1>
W jãzëkù <extra_id_0> droga" (	<extra_id_0> kaszëbsczim òpùblikòwôł: "Jesénnô <extra_id_1>
Teritorialny spiéw <extra_id_0> òpadający „ki-u”.	<extra_id_0> samca to głëchi, <extra_id_1>
Psotnik (Euphorbia helioscopia L.) – <extra_id_0> roscëna z rodzëznë psotnikòwatëch.	<extra_id_0> to je jednorocznô <extra_id_1>
Zjôdanié swiéżich jagód ë jich produktów <extra_id_0> òstrosc widzeniô, przede wszëtczim ò cemkù.	<extra_id_0> wzmòcniwô zdrok, pòprôwiô <extra_id_1>
Tam Tobie w kòrëtkù <extra_id_0> dóm.	<extra_id_0> tak żużkac nie <extra_id_1>
Wies je wôżnym turistnym òstrzódkã z <extra_id_0> chëczama ë agrokwatérama.	<extra_id_0> wiele penzjónatama, wczasowima <extra_id_1>
Pierszô timczasnô bliza bëła ju w 1666 rokù – òdżinowô miska <extra_id_0> bùdinku.	<extra_id_0> na dakù wësoczégò <extra_id_1>
Wëstraszony przëcëskô sã do <extra_id_0> narôz zriwô sã do lecënkù.	<extra_id_0> zemi, a pózni <extra_id_1>
Kromlech biwô <extra_id_0> stołpnicё.	<extra_id_0> uwôżóny za prototyp <extra_id_1>
Je <extra_id_0> naszi erë (pò narodzenim Christusa), 955. rok pierszégò tësąclecégò, 55. rok X stolatégò, 5. rok 6-égò dzesãcolecô X stolatégò.	<extra_id_0> to 955 rok <extra_id_1>
Òna mô baro <extra_id_0> i krótczé makle.	<extra_id_0> wiôldżé, rozbùdowóné òczë <extra_id_1>
W <extra_id_0> i dërżôk.	<extra_id_0> nich je: bijôk <extra_id_1>
Prawie wiedno dwùkòłowi, jednoszlachòwi, z kòłama <extra_id_0> przemiarze i lińcuchòwim nëkã na tylné kòło.	<extra_id_0> ò ti sami <extra_id_1>
W hewòtnym rokù rozeszłosc juliańsczégò <extra_id_0> wënôszała 12 dni.	<extra_id_0> i gregòriańsczégò kalãdôrza <extra_id_1>
Pò skùrczenim sã naładowónégò elektricznie cała <extra_id_0> dzurë, elektriczné pòlé ùlégô taczémù wzmòcnieniu, że zaczinają pòwstawac pôrë elektron – pòzyton.	<extra_id_0> i pòwstaniu czôrny <extra_id_1>
Òna <extra_id_0> mieczą.	<extra_id_0> bëła scąti <extra_id_1>
Sprawi to, ò Droga mòja Patronkò, żebëm Bògù dochòwała wiernoscë westrzód <extra_id_0> żëcô i zasłużëła sobie na łaskã szczestlëwi smiercë.	<extra_id_0> rozmajitëch przigòdów negò <extra_id_1>
Kaszórk - to je rãczno <extra_id_0> pałągù i dłudżim szachù do łowieniô rëbów w błotkach, a téż rowach.	<extra_id_0> miechòwatô séc na <extra_id_1>
Òd tegò czasu bëłë <extra_id_0> Pòlanowie jakùbòwé jôrmarczi.	<extra_id_0> téż òrganizowóné w <extra_id_1>
Na wsach pòdwòrzé <extra_id_0> np. ze sztachëtów.	<extra_id_0> je ògrodzoné płotem <extra_id_1>
Ùrodzył <extra_id_0> rokù w Zeiselmauer (dôwni Ceti, Dolnô Austriô).	<extra_id_0> sã kòl 250 <extra_id_1>
Sardińsczi <extra_id_0> sarda, lingua sarda) - to je jeden z romańsczich jãzëków.	<extra_id_0> jãzëk (sardu, limba <extra_id_1>
Medycyna <extra_id_0> – humanistyka, t. 6, pod red.	<extra_id_0> – antropologia kultury <extra_id_1>
W latach <extra_id_0> i je nim òd 2010 w gminie Żukòwò.	<extra_id_0> 1978-1990 béł radnym <extra_id_1>
Bëłë <extra_id_0> jegò jintelektualny edukacji.	<extra_id_0> to nôwôżniészé lata <extra_id_1>
Leno <extra_id_0> trudni gò mòżna nalézc.	<extra_id_0> szkòda że corôz <extra_id_1>
Pismiono <extra_id_0> sprôw).	<extra_id_0> dlô kaszëbsczich <extra_id_1>
To <extra_id_0> c.	<extra_id_0> béł dr h. <extra_id_1>
Pragnã zwëcãżëc, równak jeżlë nie bãdã mógł zwëcãżëc, <extra_id_0> w swòjim staranim.	<extra_id_0> niech bãdã dzyrsczi <extra_id_1>
Pò <extra_id_0> wanożec.	<extra_id_0> ni ni mòżna <extra_id_1>
Jana Mòrdawsczégò, tołmaczënk Jerzi Tréder, <extra_id_0> przë wespółrobòce z Institutã Kaszëbsczim, Gduńsk 1999, ss.	<extra_id_0> Wëdowizna M. Rôżok <extra_id_1>
Òd 2010 na Szląsczi <extra_id_0> ślabikorzem.	<extra_id_0> Wikipedjô mòżna pisac <extra_id_1>
Pisôł <extra_id_0> „	<extra_id_0> téż m.jin. do <extra_id_1>
Przez swòją nôtërã maksymalizacëjny słowôrz ni mòże bëc <extra_id_0> równak mòże baro pòmòc przë twòrzenim taczégò słowôrza.	<extra_id_0> słowôrzã normatiwnym (preskriptiwnym), <extra_id_1>
Më prôwdzëwi Kaszëbi <extra_id_0> pò pòlsku; a wiãc më sã mùszimë przód waszi pëszny mòwë naùczëc.	<extra_id_0> nie rozmiejemë dobrze <extra_id_1>
To robił téż Sven Gustavsson (1938 - <extra_id_0> słowiańsczich jãzëków.	<extra_id_0> 2013) - profesor <extra_id_1>
Je <extra_id_0> np.	<extra_id_0> òpublikòwóny <extra_id_1>
Pòwsta tedë mennica, arsenał, młinë, mòst <extra_id_0> szpitalów i pałaców.	<extra_id_0> na Wilejce, wiele <extra_id_1>
Te trôwë sã <extra_id_0> wësoczi.	<extra_id_0> gdze 10–200 cm <extra_id_1>
Są òne równak ze sobą kòmpatibilné ë je mòżno generalno w <extra_id_0> kòżdegò graficznegò òkrążą czë soft-wôrë.	<extra_id_0> kòżdi wersëji brëkòwac <extra_id_1>
Célã wpisaniô je wzmòcnienié przekazëwaniô rãcznégò kaszëbsczégò wësziwaniô <extra_id_0> pòkòlenióm.	<extra_id_0> żukòwsczégò sztélu pòstãpnym <extra_id_1>
Dzëkô gãs (Anser fabalis) - wiôldżi wanożny <extra_id_0> kaczkòwatëch.	<extra_id_0> ptôch z rodzëznë <extra_id_1>
Pò <extra_id_0> co w sztërë wòłë òrôł.	<extra_id_0> drodze spòtkała chłopa, <extra_id_1>
Stôwkòwô żaba abò rzãsnica (Pelophylax lessonae Camerano, 1882) <extra_id_0> łaza z rodzëznë żabòwatëch (Ranidae).	<extra_id_0> - to je <extra_id_1>
Òd czasu òbswòjeniô pòwstało wiele ôrtów <extra_id_0> jinaczą sã czej chòdzy ò mòrfòlogiã i ùżëtkòwé znanczi.	<extra_id_0> tószów, chtërne mòcno <extra_id_1>
Òn napisôł ò se: "Mòja dësza je w całoscy kaszëbskô, i takô òstónie/Moja dusza jest <extra_id_0> i taka pozostanie."	<extra_id_0> do głębi kaszubska, <extra_id_1>
Drobnokwiatowi tuj <extra_id_0> – to je ôrt roscënë z rodzëznë kapùstowatëch Brassicaceae.	<extra_id_0> (Erysimum cheiranthoides L.) <extra_id_1>
Przewòrska <extra_id_0> (òd 2009), Rëbnika (òd 2007), Jasła (òd 1996), Brodnicë (òd 2014), Mazowiecczégò Tomaszowa (òd 2015) i Lublëna.	<extra_id_0> (òd 2015), Lëpna <extra_id_1>
Pieczëzna – to wërobë <extra_id_0> i solë z różnyma dodatkama.	<extra_id_0> z mączi, wòdë <extra_id_1>
Wiatrôczk (Dianthus deltoides L.) – to je <extra_id_0> rodzëznë granôtkòwatëch.	<extra_id_0> wielelatnô roscëna z <extra_id_1>
Przed dobòrowanim, <extra_id_0> nôpierwi brëkùją agrotechniczny òbróbczi.	<extra_id_0> jedne ôrtë gruńtów <extra_id_1>
Dokładno <extra_id_0> je znónô.	<extra_id_0> etymologiô kawë nie <extra_id_1>
Zelony mech (Leucobryum glaucum) - <extra_id_0> mechù.	<extra_id_0> to je ôrt <extra_id_1>
Je to 964 rok naszi <extra_id_0> Christusa), 964. rok pierszégò tësąclecégò, 64. rok X stolatégò, 4. rok 7-égò dzesãcolecô X stolatégò.	<extra_id_0> erë (pò narodzenim <extra_id_1>
Van Gogh <extra_id_0> blós z tegò, że fejn malowôł, le temù,że miół barwné żëce zakłóńczoné tragedëjã.	<extra_id_0> òstôł legendã nié <extra_id_1>
W planowanim i realizacje òchrónowëch dzejaniów w wiôldżim stãpniu <extra_id_0> to je wësziwôczczi np.	<extra_id_0> ùczãstniczą depòzytariusze wësziwaniô, <extra_id_1>
Òstôł wëparti <extra_id_0> Tasmanie, gdze wëdżinął w XX wiekù.	<extra_id_0> blós do terenów <extra_id_1>
Stolëca <extra_id_0> to je Lusaka.	<extra_id_0> i nôwikszi gard <extra_id_1>
Ale wiémë, że ob dłudżi czas on béł ostrim ustëgownikę chrzescëjanów, o czim sóm wspominô <extra_id_0> 3,6; 1 Tm 1,13).	<extra_id_0> (Ga 1,13; Flp <extra_id_1>
Pòd Twòjã òbronã <extra_id_0> – to je chrzescëjańskô mòdlëtwa z III stalata.	<extra_id_0> (Sub Tuum Praesidium) <extra_id_1>
Pòlipropëlen (PP) <extra_id_0> chemiczny związk.	<extra_id_0> – to je <extra_id_1>
Udo Schnelle “The History and Theology of the New Testament Writings”, p. 259 Tradicjò chrzescëjańskô sygającô pòłowë II wiekù n.e. przëpisëje aùtorstwò trzecy Ewanielië <extra_id_0> Łukaszowi, towarzëszowi misyjnych wanogów sw.	<extra_id_0> i Dzejów Apòstolsczich <extra_id_1>
Òn béł <extra_id_0> robòtã np.	<extra_id_0> wëprzédniony za swòją <extra_id_1>
Zvjercadło kaszubskji" <extra_id_0> jin. szalwija bëła dóné do pòswiãceniô w Matkã Bòską Zelną.	<extra_id_0> pisôł, że m. <extra_id_1>
Błotnô <extra_id_0> (L.) L. em.	<extra_id_0> niezabôtka (Myosotis palustris <extra_id_1>
Hewò <extra_id_0> Pańskô.	<extra_id_0> jô jem Służebnô <extra_id_1>
Zôczôł téż twòrzëc swòjù òrginalnu stegna filozoficznëch ùmëslënków,chtërne doprrowadzałé gò <extra_id_0> i metrafizyczé dobra.	<extra_id_0> do filozofjiô drame <extra_id_1>
Je <extra_id_0> kôrbionków.	<extra_id_0> ùsôdzcą czile zbiérków <extra_id_1>
Stôrodôwnotą <extra_id_0> sw.	<extra_id_0> są téż figùrenczi <extra_id_1>
Chòcaż niżôdne z jej <extra_id_0> òpublikowónych, Norma Jean zdecydowała sã òdejsc z fabryczi i rozpòczãc rabòtã jakno mòdelka.	<extra_id_0> òdjimków nié òstało <extra_id_1>
Je to 870 rok naszi erë (pò narodzenim Christusa), 870. rok pierszégò tësąclecégò, 70. rok <extra_id_0> rok 7-égò dzesãcolecô IX stalatégò.	<extra_id_0> IX stalatégò, 10. <extra_id_1>
Òb czas II <extra_id_0> òkrãtownią miemiecczich pòdwòdnëch òkrãtów (U-bòtów).	<extra_id_0> Swiatowi Wòjnë bëła <extra_id_1>
Quilling swòj pòczątk mô w XV w. (wg jedny z teorii) to klôsztornicë z Włoch i Francji dekòrowalë symbòle religijny dłudżima pasykama wëcãtymë ze <extra_id_0> pazłoconëma brzégóma.	<extra_id_0> starëch knigów z <extra_id_1>
W 2011 we <extra_id_0> lëdzy https://web.	<extra_id_0> wsë mieszkało 201 <extra_id_1>
Bëło <extra_id_0> widzawiszcze z nordë Kaszëb.	<extra_id_0> to téż lëdowé <extra_id_1>
Kôczornica (Nuphar lutea) <extra_id_0> wielelatnô roscëna z rodzëznë kòblunowatëch (Nymphaeaceae).	<extra_id_0> - to je <extra_id_1>
Ni béł <extra_id_0> walk.	<extra_id_0> to jednak kùnc <extra_id_1>
W dokôzu <extra_id_0> miłotë Tadeùsza i Zosi.	<extra_id_0> mómë téż wątk <extra_id_1>
Janiół stróż je z człowiekã <extra_id_0> mù w żëcim.	<extra_id_0> wiedno i pòmôgô <extra_id_1>
Jednota fizyczna <extra_id_0> to je lëczba radioaktywnoszczi.	<extra_id_0> mionowana Curie (CI) <extra_id_1>
W gòdnikù 1970 rokù <extra_id_0> bëło wiele òfiarów (zabitëch).	<extra_id_0> krótkò ti òkrãtowni <extra_id_1>
Nachôdô, czej sprôwcã òbczas cządu <extra_id_0> zlecziństwò, za chtërné òstôł prawòmòcno òbsądzony.	<extra_id_0> próbë zrobił ùmëslné <extra_id_1>
Òbczas rozegracji <extra_id_0> rusczé władze jinaczi widzą tegòczasné „drëszstwò” pòlskò-rusczé niżlë nôùkòwcë, ùtwórcë czë zwëczajny lubòtnicë.	<extra_id_0> zmerkôł równak, że <extra_id_1>
Wiodro to <extra_id_0> tim sztërkù.	<extra_id_0> stón atmòsferë w <extra_id_1>
Łoczetk przëjachôł <extra_id_0> bùnt mieszczanów pòznańsczich (na czele z wójtã Przemkã) i òbjął rządë nad tą dzelnicą.	<extra_id_0> do Wiôlgòpòlsczi, pòkònôł <extra_id_1>
Òstatnym dniãm <extra_id_0> 16 lëstopadnik 1939 rokù.	<extra_id_0> jegô żëcé bëł <extra_id_1>
Rakiétka skłôdô <extra_id_0> i dwùch òsoblëwëch, gùmòwëch (kauczukowych)òbłożeniów.	<extra_id_0> sã z déla <extra_id_1>
Paprika (Capsicum L.) - to je <extra_id_0> rodzëznë lilkòwatëch (Solanaceae L.).	<extra_id_0> szlach roscënów z <extra_id_1>
Je to 879 rok naszi <extra_id_0> Christusa), 879. rok pierszégò tësąclecégò, 79. rok IX stalatégò, 9. rok 8-égò dzesãcolecô IX stalatégò.	<extra_id_0> erë (pò narodzenim <extra_id_1>
Òb lato tu <extra_id_0> Bôtë pòd Żôglama".	<extra_id_0> òrganizowóné są "Kaszëbsczé <extra_id_1>
Minysterstwo Gbùrzeniô <extra_id_0> (	<extra_id_0> i Rozwiju Wsë <extra_id_1>
Czéde szlabiza nié <extra_id_0> brëkùje sã pùstégò zaczątkù ㅇ ieung (nie brëkùje sã gò na kùńcu).	<extra_id_0> mô wstãpnegò samòzwãkù, <extra_id_1>
Jéj pisklãta wëzdrzą wnetka tak samò i òdzëwają sã na ôrt <extra_id_0> gòspòdôrza.	<extra_id_0> przëbliżony do młodëch <extra_id_1>
; wëstãpùją <extra_id_0> karnach.	<extra_id_0> w 6 wiekòwëch <extra_id_1>
Jerzi Łisk wëspółrobi z wielema <extra_id_0> Kaszëb.	<extra_id_0> lëdowima karnama nordowëch <extra_id_1>
Bëdli gzél (Hypoderma bovis) - to je ôrt òwada z <extra_id_0> a pòdrodzëznë Hypodermatinae.	<extra_id_0> rodzëznë gzykòwatëch (Oestridae), <extra_id_1>
Mô <extra_id_0> córkã Agatã (ur. w 1980).	<extra_id_0> białkã Elżbietã i <extra_id_1>
Babié ùszëszcza abò babié ùszë (Gyromitra <extra_id_0> grzëbama.	<extra_id_0> esculenta) - są <extra_id_1>
Dzãka jegò staróm pòwstała dobrowòlnô ògniowô starża, pòlicëjô, <extra_id_0> ksążków.	<extra_id_0> bòlëca a wëpòżëczniô <extra_id_1>
Kalisz <extra_id_0> miem.	<extra_id_0> Pomorski, <extra_id_1>
Wiejadło - <extra_id_0> ùżiwónô w gbùrzëznie do òbczëszczaniô zôrna (òddzélaniô zôrnów zbòżô òd plewów), terô to colemało robi kòmbajn, a mòże jesz klapra.	<extra_id_0> to bëła rzecz <extra_id_1>
